state,x_cor,y_cor
Andhra Pradesh,-105.0,-220.0
Arunachal Pradesh,178.0,312.0
Assam,280.0,132.0
Bihar,93.0,122.0
Chhattisgarh,-6.0,-13.0
Goa,-250.0,-224.0
Gujarat,-323.0,15.0
Haryana,-183.0,218.0
Himachal Pradesh,-153.0,322.0
Jharkhand,79.0,38.0
Karnataka,-191.0,-252.0
Kerala,-180.0,-358.0
Madhya Pradesh,-138.0,31.0
Maharashtra,-226.0,-97.0
Manipur,342.0,74.0
Meghalaya,259.0,100.0
Mizoram,312.0,24.0
Nagaland,362.0,121.0
Odisha,49.0,-75.0
Punjab,-217.0,292.0
Rajasthan,-310.0,138.0
Sikkim,174.0,173.0
Tamil Nadu,-107.0,-338.0
Telangana,-109.0,-157.0
Tripura,275.0,40.0
Uttar Pradesh,-90.0,169.0
Uttarakhand,-98.0,265.0
West Bengal,167.0,26.0
Jammu And Kashmir,-182.0,384.0
Delhi,-150,180
